sample,Amp_success,Source,Sterilized,,,,,,,,,,,,,
HEV15,1,LAB,NS,,,,,,,,,,,,,
HEV17,1,LAB,NS,,,,,,,,,,,,,
HEV18,1,LAB,NS,,,,,,,,,,,,,
HEV20,1,LAB,NS,,,,,,,,,,,,,
HEV21,1,LAB,NS,,,,,,,,,,,,,
HEV22,1,LAB,NS,,,,,,,,,,,,,
HEV23,1,LAB,NS,,,,,,,,,,,,,
HEV24,1,LAB,NS,,,,,,,,,,,,,
HEV25,1,LAB,NS,,,,,,,,,,,,,
HEV26,1,LAB,NS,,,,,,,,,,,,,
HEV28,0,LAB,NS,,,,,,,,,,,,,
HEV29,1,LAB,NS,,,,,,,,,,,,,
HEV30,0,LAB,NS,,,,,,,,,,,,,
HEV31,0,LAB,NS,,,,,,,,,,,,,
HEV77,0,FIELD,NS,,,,,,,,,,,,,
HEV78,0,FIELD,NS,,,,,,,,,,,,,
HEV79,1,FIELD,NS,,,,,,,,,,,,,
HEV80,0,FIELD,NS,,,,,,,,,,,,,
HEV81,1,FIELD,NS,,,,,,,,,,,,,
HEV82,1,FIELD,NS,,,,,,,,,,,,,
HEV83,1,FIELD,NS,,,,,,,,,,,,,
HEV84,0,FIELD,NS,,,,,,,,,,,,,
HEV85,0,FIELD,NS,,,,,,,,,,,,,
HEV86,0,FIELD,NS,,,,,,,,,,,,,
HEV87,1,FIELD,NS,,,,,,,,,,,,,
HEV88,1,FIELD,NS,,,,,,,,,,,,,
HEV89,1,FIELD,NS,,,,,,,,,,,,,
HEV106,1,FIELD,NS,,,,,,,,,,,,,
HEV107,1,FIELD,NS,,,,,,,,,,,,,
HEV108,1,FIELD,NS,,,,,,,,,,,,,
HEV109,1,FIELD,NS,,,,,,,,,,,,,
HEV110,1,FIELD,NS,,,,,,,,,,,,,
HEV111,1,FIELD,NS,,,,,,,,,,,,,
HEV95,1,FIELD,NS,,,,,,,,,,,,,
HEV96,1,FIELD,NS,,,,,,,,,,,,,
HEV97,1,FIELD,NS,,,,,,,,,,,,,
HEV98,1,FIELD,NS,,,,,,,,,,,,,
HEV99,1,FIELD,NS,,,,,,,,,,,,,
HEV100,1,FIELD,NS,,,,,,,,,,,,,
HEV07,1,LAB,SS,,,,,,,,,,,,,
HEV09,0,LAB,SS,,,,,,,,,,,,,
HEV10,1,LAB,SS,,,,,,,,,,,,,
HEV11,1,LAB,SS,,,,,,,,,,,,,
HEV12,1,LAB,SS,,,,,,,,,,,,,
HEV13,1,LAB,SS,,,,,,,,,,,,,
HEV14,1,LAB,SS,,,,,,,,,,,,,
HEV16,1,LAB,SS,,,,,,,,,,,,,
HEV19,0,LAB,SS,,,,,,,,,,,,,
HEV27,1,LAB,SS,,,,,,,,,,,,,
HEV65,1,FIELD,SS,,,,,,,,,,,,,
HEV66,1,FIELD,SS,,,,,,,,,,,,,
HEV67,1,FIELD,SS,,,,,,,,,,,,,
HEV68,1,FIELD,SS,,,,,,,,,,,,,
HEV69,0,FIELD,SS,,,,,,,,,,,,,
HEV70,1,FIELD,SS,,,,,,,,,,,,,
HEV71,1,FIELD,SS,,,,,,,,,,,,,
HEV72,0,FIELD,SS,,,,,,,,,,,,,
HEV73,0,FIELD,SS,,,,,,,,,,,,,
HEV74,1,FIELD,SS,,,,,,,,,,,,,
HEV75,0,FIELD,SS,,,,,,,,,,,,,
HEV76,1,FIELD,SS,,,,,,,,,,,,,
HEV101,1,FIELD,SS,,,,,,,,,,,,,
HEV102,1,FIELD,SS,,,,,,,,,,,,,
HEV103,1,FIELD,SS,,,,,,,,,,,,,
HEV104,1,FIELD,SS,,,,,,,,,,,,,
HEV105,1,FIELD,SS,,,,,,,,,,,,,
HEV90,1,FIELD,SS,,,,,,,,,,,,,
HEV91,1,FIELD,SS,,,,,,,,,,,,,
HEV92,1,FIELD,SS,,,,,,,,,,,,,
HEV93,1,FIELD,SS,,,,,,,,,,,,,
HEV94,1,FIELD,SS,,,,,,,,,,,,,
HEV08,0,LAB,unclear if surface sterilized?,,,,,,,,,,,,,