ASV,ID,Level,Category,Kingdom,Phylum,Class,Order,Family,Genus,Species,b_ID,b_Level,b_Category,b_Kingdom,b_Phylum,b_Class,b_Order,b_Family,b_Genus,b_Species
Zotu60,Arthropoda,Phylum,prey,Animalia,Arthropoda,,,,,,,,,,,,,,,
Zotu12,Araneae,Order,prey,Animalia,Arthropoda,Arachnida,Araneae,,,,,,,,,,,,,
Zotu46,Araneomorphae,Infraorder,prey,Animalia,Arthropoda,Arachnida,Araneae,,,,,,,,,,,,,
Zotu6,Hasarius adansoni,Species,prey,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Hasarius,adansoni,,,,,,,,,,
Zotu105,Buthus mariefranceae,Species,prey,Animalia,Arthropoda,Arachnida,Scorpiones,Buthidae,Buthus,Buthus mariefranceae,,,,,,,,,,
Zotu23,Tygarrup javanicus,Species,prey,Animalia,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Tygarrup,Tygarrup javanicus,,,,,,,,,,
Zotu26,Tygarrup javanicus,Species,prey,Animalia,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Tygarrup,Tygarrup javanicus,,,,,,,,,,
Zotu39,Tygarrup javanicus,Species,prey,Animalia,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Tygarrup,Tygarrup javanicus,,,,,,,,,,
Zotu77,Anchiphiloscia pilosa,Species,prey,Animalia,Arthropoda,Malacostraca,Isopoda,Philosciidae,Anchiphiloscia,Anchiphiloscia pilosa,,,,,,,,,,
Zotu112,Littorophiloscia bifasciata,Species,prey,Animalia,Arthropoda,Malacostraca,Isopoda,Halophilosciidae,Littorophiloscia,Littorophiloscia bifasciata,,,,,,,,,,
Zotu13,Neoptera,Infraclass,prey,Animalia,Arthropoda,Insecta,,,,,,,,,,,,,,
Zotu15,Neoptera,Infraclass,prey,Animalia,Arthropoda,Insecta,,,,,,,,,,,,,,
Zotu32,Neoptera,Infraclass,prey,Animalia,Arthropoda,Insecta,,,,,,,,,,,,,,
Zotu33,Neoptera,Infraclass,prey,Animalia,Arthropoda,Insecta,,,,,,,,,,,,,,
Zotu42,Neoptera,Infraclass,prey,Animalia,Arthropoda,Insecta,,,,,,,,,,,,,,
Zotu76,Neoptera,Infraclass,prey,Animalia,Arthropoda,Insecta,,,,,,,,,,,,,,
Zotu94,Neoptera,Infraclass,prey,Animalia,Arthropoda,Insecta,,,,,,,,,,,,,,
Zotu17,Conoderus pallipes,Species,prey,Animalia,Arthropoda,Insecta,Coleoptera,Elateridae,Conoderus,Conoderus pallipes,,,,,,,,,,
Zotu1,Scholastes lonchifer,Species,prey,Animalia,Arthropoda,Insecta,Diptera,Platystomatidae,Scholastes,Scholastes lonchifer,,,,,,,,,,
Zotu78,Scholastes lonchifer,Species,prey,Animalia,Arthropoda,Insecta,Diptera,Platystomatidae,Scholastes,Scholastes lonchifer,,,,,,,,,,
Zotu69,Nematocera,Suborder,prey,Animalia,Arthropoda,Insecta,Diptera,,,,,,,,,,,,,
Zotu49,unclassified Limoniidae,Family,prey,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,,,,,,,,,,,,
Zotu92,Hemiptera sp. BIOUG03439-H02,Order,prey,Animalia,Arthropoda,Insecta,Hemiptera,,,,,,,,,,,,,
Zotu2,Anisolabis,Genus,prey,Animalia,Arthropoda,Insecta,Dermaptera,Anisolabididae,Anisolabis,,,,,,,,,,,
Zotu8,Blattodea,Order,prey,Animalia,Arthropoda,Insecta,Blattodea,,,,,,,,,,,,,
Zotu11,Blattodea,Order,prey,Animalia,Arthropoda,Insecta,Blattodea,,,,,,,,,,,,,
Zotu16,Blattodea,Order,prey,Animalia,Arthropoda,Insecta,Blattodea,,,,,,,,,,,,,
Zotu28,Blattodea,Order,prey,Animalia,Arthropoda,Insecta,Blattodea,,,,,,,,,,,,,
Zotu57,Blattodea,Order,prey,Animalia,Arthropoda,Insecta,Blattodea,,,,,,,,,,,,,
Zotu64,Blattodea,Order,prey,Animalia,Arthropoda,Insecta,Blattodea,,,,,,,,,,,,,
Zotu72,Blattodea,Order,prey,Animalia,Arthropoda,Insecta,Blattodea,,,,,,,,,,,,,
Zotu82,Blattodea,Order,prey,Animalia,Arthropoda,Insecta,Blattodea,,,,,,,,,,,,,
Zotu107,Blattodea,Order,prey,Animalia,Arthropoda,Insecta,Blattodea,,,,,,,,,,,,,
Zotu27,Diploptera punctata,Species,prey,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Diploptera,Diploptera punctata,,,,,,,,,,
Zotu14,unclassified Ectobiidae,Family,prey,Animalia,Arthropoda,Insecta,Blattodea,Ectobiidae,,,,,,,,,,,,
Zotu5,Periplaneta,Genus,prey,Animalia,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,,,,,,,,,,,
Zotu63,Periplaneta,Genus,prey,Animalia,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,,,,,,,,,,,
Zotu25,Orthoptera,Order,prey,Animalia,Arthropoda,Insecta,Orthoptera,,,,,,,,,,,,,
Zotu31,Orthoptera,Order,prey,Animalia,Arthropoda,Insecta,Orthoptera,,,,,,,,,,,,,
Zotu51,Orthoptera,Order,prey,Animalia,Arthropoda,Insecta,Orthoptera,,,,,,,,,,,,,
Zotu3,Acrididae,Family,prey,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,,,,,,,,,,,,
Zotu10,Acrididae,Family,prey,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,,,,,,,,,,,,
Zotu19,Acrididae,Family,prey,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,,,,,,,,,,,,
Zotu45,Ornebius novarae,Species,prey,Animalia,Arthropoda,Insecta,Orthoptera,Mogoplistidae,Ornebius,Ornebius novarae,,,,,,,,,,
Zotu55,Ornebius novarae,Species,prey,Animalia,Arthropoda,Insecta,Orthoptera,Mogoplistidae,Ornebius,Ornebius novarae,,,,,,,,,,
Zotu87,Ornebius novarae,Species,prey,Animalia,Arthropoda,Insecta,Orthoptera,Mogoplistidae,Ornebius,Ornebius novarae,,,,,,,,,,
Zotu67,Pantala flavescens,Species,prey,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens,,,,,,,,,,
Zotu97,Pantala flavescens,Species,prey,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens,,,,,,,,,,
Zotu75,Acanthamoeba,Genus,non-diet,,Amoebozoa,Discosea,Centramoebida,Acanthamoebidae,Acanthamoeba,,,,,,,,,,,
Zotu43,Ascomycota,Phylum,non-diet,Fungi,Ascomycota,,,,,,,,,,,,,,,
Zotu61,Ascomycota,Phylum,non-diet,Fungi,Ascomycota,,,,,,,,,,,,,,,
Zotu68,Ascomycota,Phylum,non-diet,Fungi,Ascomycota,,,,,,,,,,,,,,,
Zotu79,Ascomycota,Phylum,non-diet,Fungi,Ascomycota,,,,,,,,,,,,,,,
Zotu100,Ascomycota,Phylum,non-diet,Fungi,Ascomycota,,,,,,,,,,,,,,,
Zotu106,Ascomycota,Phylum,non-diet,Fungi,Ascomycota,,,,,,,,,,,,,,,
Zotu108,Ascomycota,Phylum,non-diet,Fungi,Ascomycota,,,,,,,,,,,,,,,
Zotu7,leotiomyceta,Division,non-diet,Fungi,,,,,,,,,,,,,,,,
Zotu20,leotiomyceta,Division,non-diet,Fungi,,,,,,,,,,,,,,,,
Zotu22,leotiomyceta,Division,non-diet,Fungi,,,,,,,,,,,,,,,,
Zotu24,leotiomyceta,Division,non-diet,Fungi,,,,,,,,,,,,,,,,
Zotu37,leotiomyceta,Division,non-diet,Fungi,,,,,,,,,,,,,,,,
Zotu40,leotiomyceta,Division,non-diet,Fungi,,,,,,,,,,,,,,,,
Zotu53,leotiomyceta,Division,non-diet,Fungi,,,,,,,,,,,,,,,,
Zotu56,leotiomyceta,Division,non-diet,Fungi,,,,,,,,,,,,,,,,
Zotu73,leotiomyceta,Division,non-diet,Fungi,,,,,,,,,,,,,,,,
Zotu41,Cercospora sojina,Species,non-diet,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,Cercospora sojina,,,,,,,,,,
Zotu85,Pleosporineae,Subfamily,non-diet,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,,,,,,,,,,,,
Zotu70,Aspergillus,Genus,non-diet,Fungi,,Eurotiomycetes,Eurotiales,Trichocomaceae,Aspergillus,,,,,,,,,,,
Zotu102,Penicillium sclerotiorum,Species,non-diet,Fungi,,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,Penicillium sclerotiorum,,,,,,,,,,
Zotu93,Leotiomycetes,,non-diet,Fungi,,,,,,,,,,,,,,,,
Zotu80,Synchaetomella acerina,,non-diet,Fungi,,,,,,,,,,,,,,,,
Zotu35,Sordariomycetes,,non-diet,Fungi,,,,,,,,,,,,,,,,
Zotu54,Sordariomycetes,,non-diet,Fungi,,,,,,,,,,,,,,,,
Zotu110,Sordariomycetes,,non-diet,Fungi,,,,,,,,,,,,,,,,
Zotu9,Hypocreomycetidae,,non-diet,Fungi,,,,,,,,,,,,,,,,
Zotu18,Hypocreomycetidae,,non-diet,Fungi,,,,,,,,,,,,,,,,
Zotu4,Hypocreales,,non-diet,Fungi,,,,,,,,,,,,,,,,
Zotu89,Hypocreales,,non-diet,Fungi,,,,,,,,,,,,,,,,
Zotu111,Clavicipitaceae,,non-diet,Fungi,,,,,,,,,,,,,,,,
Zotu71,Cordycipitaceae,,non-diet,Fungi,,,,,,,,,,,,,,,,
Zotu48,Fusarium,,non-diet,Fungi,,,,,,,,,,,,,,,,
Zotu81,Fusarium,,non-diet,Fungi,,,,,,,,,,,,,,,,
Zotu58,Neurospora crassa,,non-diet,Fungi,,,,,,,,,,,,,,,,
Zotu34,Saccharomycetales,,non-diet,Fungi,,,,,,,,,,,,,,,,
Zotu98,Saccharomyces cerevisiae,,non-diet,Fungi,,,,,,,,,,,,,,,,
Zotu104,Torulaspora,,non-diet,Fungi,,,,,,,,,,,,,,,,
Zotu88,Agaricomycetes,,non-diet,Fungi,,,,,,,,,,,,,,,,
Zotu96,Agaricomycetes,,non-diet,Fungi,,,,,,,,,,,,,,,,
Zotu44,Sporisorium scitamineum,,non-diet,Fungi,,,,,,,,,,,,,,,,
Zotu30,Lichtheimia ramosa,,non-diet,Fungi,,,,,,,,,,,,,,,,
Zotu91,Bdelloidea,Class,non-diet,Animalia,Rotifera,Bdelloidea,,,,,,,,,,,,,,
Zotu109,Oomycetes,,non-diet,Oomycetes,,,,,,,,,,,,,,,,
Zotu74,Phytophthora,,non-diet,Oomycetes,,,,,,,,,,,,,,,,
Zotu50,Sparassidae,Family,predator,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,,,,,
Zotu90,Pythiopsis,Genus,non-diet,,,,,,,,Eukaryota,higher,unknown,,,,,,,
Zotu95,Philodina,Genus,non-diet,,,,,,,,Eukaryota,higher,unknown,,,,,,,
Zotu21,Arthrocladium,Genus,non-diet,,,,,,,,Opisthokonta,higher,unknown,,,,,,,
Zotu29,Aspergillus,Genus,non-diet,,,,,,,,Opisthokonta,higher,unknown,,,,,,,
Zotu36,Podosphaera,Genus,non-diet,,,,,,,,Opisthokonta,higher,unknown,,,,,,,
Zotu38,Aspergillus,Genus,non-diet,,,,,,,,Opisthokonta,higher,unknown,,,,,,,
Zotu47,Aspergillus,Genus,non-diet,,,,,,,,Opisthokonta,higher,unknown,,,,,,,
Zotu52,Arthrocladium,Genus,non-diet,,,,,,,,Opisthokonta,higher,unknown,,,,,,,
Zotu59,Cladophialophora,Genus,non-diet,,,,,,,,Opisthokonta,higher,unknown,,,,,,,
Zotu62,Acremonium,Genus,non-diet,,,,,,,,Opisthokonta,higher,unknown,,,,,,,
Zotu65,Sydowia,Genus,non-diet,,,,,,,,Opisthokonta,higher,unknown,,,,,,,
Zotu66,Leohumicola,Genus,non-diet,,,,,,,,Opisthokonta,higher,unknown,,,,,,,
Zotu83,Sydowia,Genus,non-diet,,,,,,,,Opisthokonta,higher,unknown,,,,,,,
Zotu84,Leohumicola,Genus,non-diet,,,,,,,,Opisthokonta,higher,unknown,,,,,,,
Zotu86,Beauveria,Genus,non-diet,,,,,,,,Opisthokonta,higher,unknown,,,,,,,
Zotu99,Aspergillus,Genus,non-diet,,,,,,,,Opisthokonta,higher,unknown,,,,,,,
Zotu101,Arthrocladium,Genus,non-diet,,,,,,,,Opisthokonta,higher,unknown,,,,,,,
Zotu103,Beauveria,Genus,non-diet,,,,,,,,Opisthokonta,higher,unknown,,,,,,,